Actual_Time_Spent_hrs,Issue_Type,Priority,Severity,Story_Points,Epic_Size,Number_of_Subtasks,Number_of_Linked_Issues,Number_of_Comments,Number_of_Attachments,Number_of_Description_Edits,Complexity,Average_Historical_Hours,Assignee_Experience_yrs,Team_Velocity,Team_Size
9.1,Task,High,Minor,2,106,2,3,9,1,3,Low,19.6,1.3,52,11
22.9,Task,Low,Blocker,3,52,2,3,12,1,2,Low,7.3,7.9,42,7
16.1,Task,Medium,Minor,2,84,1,3,7,0,3,Low,7.3,7.6,26,6
13.9,Bug,Medium,Major,5,64,3,1,9,0,1,Low,27,5.2,34,11
23.6,Story,Medium,Major,8,37,1,0,7,0,3,Medium,18,4.8,34,7
7.7,Task,High,Trivial,13,119,1,1,11,0,2,Very High,15.5,4.9,28,7
10.3,Story,Low,Major,5,7,2,2,8,3,2,Medium,4.1,0.9,40,7
15.8,Bug,High,Minor,8,106,3,2,8,1,1,Very High,5.4,4,56,8
15.4,Story,High,Blocker,3,8,1,1,9,1,2,Medium,2.3,1.7,58,8
4.1,Story,Medium,Minor,2,104,4,1,3,1,0,Low,3.2,2.3,47,6
9.6,Story,High,Major,3,8,3,0,8,4,5,Low,8.2,9.6,25,9
11.6,Bug,Medium,Major,3,46,3,1,9,0,2,High,6.3,3,29,8
16.9,Bug,Low,Minor,5,13,2,4,6,0,4,Medium,9.1,5.1,34,5
15.4,Task,High,Trivial,2,108,4,1,9,0,3,Low,11.4,8.9,43,6
12.4,Task,Medium,Minor,3,55,3,1,7,0,4,Medium,4.6,4.4,23,5
2.4,Bug,High,Minor,3,21,2,1,8,1,4,High,12,5.5,54,7
12.8,Task,Medium,Major,13,21,3,0,8,1,1,Low,10.7,2.1,34,5
13.5,Bug,Critical,Major,3,101,2,0,9,1,3,High,5.7,3.2,56,8
49.1,Story,Medium,Minor,5,24,1,0,9,2,4,Low,17.2,5.3,21,5
11.4,Task,Low,Major,5,18,2,0,8,1,3,Medium,8.5,4,59,7
15.8,Task,Medium,Major,2,26,4,1,8,2,1,Medium,2.9,0.9,47,11
25.9,Task,High,Major,3,56,3,2,8,0,2,Medium,3.4,4.3,24,7
20.8,Bug,High,Minor,8,31,5,2,7,0,3,Low,15.1,8.2,42,8
29.7,Task,Medium,Minor,3,47,2,1,9,2,5,Low,10.2,1.6,28,6
4.1,Bug,High,Minor,8,7,0,0,6,1,3,High,8.4,0.7,26,9
6.1,Story,Medium,Major,2,92,1,2,6,0,4,Low,8.6,1.6,23,10
8.6,Story,Medium,Minor,1,98,1,0,6,2,6,Medium,4.4,7,38,6
3.6,Story,High,Minor,8,12,0,2,7,2,4,High,8.6,8,27,11
13.6,Bug,High,Trivial,8,90,0,2,8,0,4,High,4.4,1,50,9
6.5,Task,High,Major,13,93,4,2,10,1,2,Low,9.1,8.9,33,10
32.1,Bug,High,Minor,5,14,2,2,9,0,2,Medium,10.4,6.5,48,8
7.2,Bug,Low,Minor,8,117,4,0,8,2,1,Medium,3.9,5.4,28,8
10.4,Story,High,Minor,8,33,1,3,8,1,2,Low,5.4,2.9,56,8
21.6,Story,Medium,Minor,8,44,1,4,3,0,5,Medium,13.1,4,25,7
4.9,Task,Low,Major,3,69,1,2,9,1,2,Low,16.3,9.5,47,6
3.3,Story,Medium,Minor,3,25,6,1,11,0,3,Medium,16.1,9.2,29,9
14.7,Bug,Medium,Minor,8,107,2,3,12,0,4,High,8.4,6.4,22,11
15.4,Task,Medium,Major,3,28,2,0,5,1,1,High,19.1,6,31,6
21.2,Story,Medium,Minor,3,77,3,2,8,0,1,High,5.4,2.5,55,9
18.2,Bug,Low,Minor,3,64,6,2,11,0,3,Medium,2.4,9.6,30,5
15.8,Story,Medium,Blocker,3,112,4,1,12,2,5,Very High,6.6,7.7,28,6
7.9,Story,Medium,Minor,3,30,2,1,0,2,2,Medium,6.1,4.1,25,5
15.2,Story,Medium,Minor,1,13,1,0,7,0,3,Medium,5.2,8.3,31,11
15.8,Story,Medium,Trivial,8,24,2,2,12,2,7,High,14.8,2.5,27,8
7.7,Task,High,Minor,3,60,2,2,5,0,3,Low,9.5,2.5,32,11
37.4,Task,High,Major,3,103,1,2,7,0,4,Low,19.2,8,28,7
17.6,Story,High,Major,1,40,0,2,6,2,3,High,6.4,5.8,39,7
6.2,Bug,Medium,Major,1,110,0,1,8,0,0,High,7.8,5.8,59,10
21.3,Task,High,Minor,2,40,1,1,12,4,5,Low,13,5.9,29,6
23.5,Story,Low,Minor,5,77,2,1,9,0,7,High,16.7,1.7,46,5
17,Story,Low,Major,1,26,4,3,12,1,2,Medium,25.7,3.8,23,5
11,Story,Medium,Blocker,8,5,0,4,8,1,3,High,8,5.9,29,9
7.4,Task,High,Trivial,2,73,4,1,8,1,4,Low,1,2.9,38,11
12.3,Story,Medium,Minor,2,77,5,1,14,0,1,Very High,0.8,5.3,29,6
16.3,Bug,Low,Minor,2,41,2,4,9,3,6,High,32.4,5.8,42,6
13.1,Story,Low,Trivial,1,106,1,1,8,0,3,Medium,7.6,9.5,55,5
30.5,Task,High,Minor,5,87,2,1,5,0,4,High,25.8,2.8,28,10
19.3,Bug,High,Trivial,8,76,1,1,1,2,2,High,10,4.7,21,10
6.8,Task,Medium,Major,5,110,1,1,6,0,2,Medium,20.5,9.8,38,5
5.7,Story,Medium,Major,2,111,2,2,7,0,6,Very High,16.3,2.3,27,10
17.7,Story,Medium,Trivial,2,100,0,0,8,4,5,Very High,3.7,7.9,45,7
11.1,Bug,High,Trivial,3,17,0,1,5,2,5,Low,24.3,2.2,55,6
20.4,Bug,Medium,Major,13,88,3,2,8,4,3,Low,4.5,8.6,30,7
17.6,Task,High,Minor,2,104,2,0,5,0,2,Medium,17.3,5.1,22,8
12.4,Bug,Medium,Major,5,47,2,2,6,0,1,Medium,14.8,9.7,49,8
6.9,Task,High,Minor,3,112,0,2,14,0,2,Low,18.8,2.1,37,11
3.7,Story,Low,Major,2,41,1,2,5,1,3,Low,9.4,7,36,5
15,Bug,Medium,Minor,3,98,0,0,4,1,2,Very High,17,7.1,28,9
4.8,Bug,Medium,Trivial,1,78,1,1,12,2,7,High,4.8,7.3,49,5
6.7,Story,Medium,Minor,5,99,0,1,6,0,2,High,8.8,1.5,35,6
14.4,Task,Low,Minor,2,29,2,2,8,1,3,Very High,16.5,3.2,27,5
13.5,Story,High,Minor,5,97,3,1,7,3,2,Medium,19.6,3.7,45,7
5.3,Story,Medium,Major,1,92,2,3,3,0,2,Medium,4.8,3.6,24,5
25.1,Bug,High,Minor,13,107,5,1,9,1,2,Low,16.7,6.9,24,7
24.7,Story,High,Trivial,2,25,4,4,7,0,3,Medium,15.9,1,43,8
18.1,Story,Medium,Major,8,45,2,0,7,1,2,Low,14.7,7.4,33,11
18.1,Task,High,Major,8,77,1,0,7,0,5,Low,7.8,5.5,24,10
18.1,Story,High,Blocker,13,46,2,1,8,1,2,Low,0.3,2.1,55,7
23.4,Story,Medium,Major,3,46,1,1,9,1,3,Medium,15.7,2.6,44,10
19.6,Bug,High,Minor,5,6,2,1,8,2,5,Very High,19.8,1.4,36,6
7.3,Task,Medium,Major,3,72,3,5,13,4,2,Low,21.8,4.9,25,5
11,Bug,Medium,Blocker,2,12,2,0,9,2,5,Medium,3,6.2,26,6
46,Bug,High,Major,3,100,0,0,11,1,4,Medium,1.4,6,34,7
2.5,Story,Medium,Minor,2,65,3,1,10,0,7,Medium,6.8,9.6,25,7
9.3,Story,Medium,Minor,13,18,7,0,6,0,3,Very High,13.3,3.3,51,7
25.2,Story,Medium,Minor,1,117,2,3,4,2,4,Low,15.2,7.7,59,7
7.7,Story,High,Major,3,81,2,2,8,1,2,Low,7.2,7.4,46,7
20,Task,Critical,Major,5,25,2,2,10,2,4,Medium,8.2,1.1,59,5
13.4,Bug,Medium,Major,3,28,2,1,4,3,1,Medium,8.9,9.3,24,9
8.1,Task,High,Trivial,5,54,2,0,11,1,4,Low,3.7,9.3,35,6
2.1,Story,Critical,Major,1,86,1,2,11,1,2,Low,13,4.3,30,8
14.7,Story,Low,Major,3,49,1,2,6,0,2,High,28.8,4.5,58,11
7.2,Story,Medium,Minor,2,68,3,0,5,3,1,Low,12.1,8.3,44,8
12,Bug,High,Major,8,68,3,0,12,0,5,Medium,17.7,5.2,21,11
18,Task,High,Minor,5,108,2,1,8,3,3,Very High,6.6,8.1,47,6
22.2,Story,High,Blocker,13,30,2,3,10,0,3,Medium,7,0.8,26,5
9.2,Bug,Medium,Major,1,36,2,2,6,0,2,Medium,9.4,2.9,57,6
8,Story,Low,Major,2,112,0,4,6,1,2,Medium,7.1,1.4,20,7
4.7,Task,Medium,Major,2,61,3,1,10,1,1,Medium,4.4,4.8,37,9
22.9,Story,Medium,Blocker,1,57,2,3,5,1,3,High,12.6,8.6,31,6
42.2,Task,Medium,Minor,2,37,2,2,9,3,2,High,4.8,5.9,27,10
24.4,Bug,High,Minor,5,56,1,0,10,0,1,Medium,5.8,5.4,39,11
27.7,Bug,Low,Major,2,99,3,0,13,1,0,High,16.2,4,54,11
7.7,Bug,High,Minor,3,22,5,2,4,1,1,Low,15.5,1.1,35,5
17.3,Story,Medium,Minor,8,39,0,2,6,1,2,Low,7.4,7.8,52,7
21.1,Bug,Medium,Blocker,5,16,0,2,9,2,3,High,11.9,5.9,59,6
0.2,Bug,Low,Major,3,55,1,1,9,0,1,Low,38.3,9.3,44,11
5.9,Task,Medium,Minor,3,93,2,3,9,1,3,High,0.9,4.6,38,6
33.4,Task,Low,Minor,3,113,2,2,6,1,4,Medium,6.3,4.3,54,7
4,Story,Critical,Minor,2,99,1,1,5,0,7,Medium,15.9,9.8,35,5
30.3,Bug,High,Minor,5,14,5,4,10,2,6,High,5.6,1.8,35,9
4,Bug,Medium,Minor,3,115,0,2,11,0,3,High,5.9,2.9,44,9
6.1,Bug,Medium,Major,8,56,1,0,9,0,4,High,2.6,5.1,51,7
17.5,Story,Critical,Minor,5,38,2,1,10,0,2,Medium,7.7,5.5,47,8
13.6,Task,Medium,Minor,5,119,2,1,5,0,5,Medium,5.3,5.7,28,5
9.9,Story,Low,Minor,3,71,3,2,8,1,4,Very High,8.2,2.5,37,8
32.6,Bug,Medium,Blocker,2,114,0,2,6,1,4,High,7.3,9.3,42,10
4.8,Story,Critical,Minor,5,43,2,1,9,0,5,Medium,9.4,7.2,49,11
11.7,Bug,Low,Trivial,3,12,0,1,11,2,6,High,9.3,3,51,8
18.9,Story,Medium,Trivial,2,100,1,1,5,2,2,High,16,3.3,43,8
15.6,Story,Critical,Major,2,111,4,1,11,2,3,Medium,9.6,8.9,30,5
8.2,Story,Low,Major,2,33,6,0,11,0,1,Medium,5.7,4.1,45,11
8.5,Bug,Low,Minor,5,26,0,2,8,0,3,Medium,18.5,5.8,30,8
22,Bug,Medium,Minor,2,88,3,3,5,2,0,Low,5,1.6,39,7
22.7,Task,High,Trivial,3,74,0,2,10,0,3,Low,16.5,2.9,37,6
15.9,Bug,Medium,Major,3,65,0,0,6,1,1,High,5,4.5,53,11
7,Bug,Critical,Major,3,47,1,3,7,0,1,Medium,39,6.7,55,11
8.7,Bug,High,Trivial,8,53,4,2,5,0,4,Low,5.8,3.2,23,7
12.8,Bug,Low,Trivial,8,33,3,0,7,0,6,Medium,19,9.5,40,6
14.1,Story,Critical,Trivial,3,110,0,2,10,2,4,Low,3,2.6,45,9
18.5,Task,Medium,Trivial,1,85,0,0,12,1,4,High,45.2,7.9,33,8
11.3,Bug,Medium,Major,3,35,0,2,8,1,2,Medium,7.3,4,45,9
21.7,Story,Medium,Minor,5,57,2,1,6,1,1,Medium,4.3,8.4,32,11
21.6,Story,Medium,Minor,3,38,4,2,10,0,6,Low,12.4,9.3,45,9
28.3,Story,Low,Minor,5,42,2,2,5,1,2,High,13.1,2.3,34,11
13.2,Task,Low,Blocker,2,61,3,3,2,1,1,Very High,10.1,5.2,46,5
16.1,Task,Medium,Blocker,5,105,0,1,5,0,0,High,6.3,2,42,8
11.9,Bug,High,Minor,2,8,3,1,5,2,6,Medium,6.8,7.2,41,9
7,Task,Medium,Minor,5,6,5,3,12,0,1,High,5.6,8.4,29,6
41.6,Story,Critical,Minor,2,16,2,2,15,1,3,Low,11.9,4.2,24,6
26.1,Task,Medium,Minor,5,39,4,2,9,1,2,Low,6.5,4.3,23,10
21.3,Story,Medium,Trivial,1,74,2,0,7,3,1,Medium,18.1,2.4,55,5
12.9,Task,Low,Major,3,114,3,3,9,0,2,Low,15,3.4,35,9
6.6,Task,Low,Major,5,76,1,1,11,1,3,Low,14.1,3.6,51,9
23.7,Bug,Medium,Blocker,2,25,1,2,6,1,3,Medium,5.3,2,30,9
11.7,Story,High,Minor,5,114,1,0,7,2,2,Medium,4,3.4,58,10
17,Task,Critical,Major,5,65,5,2,5,1,4,High,13.9,9.1,52,10
8.6,Task,Critical,Major,3,39,2,1,11,2,0,Low,11.4,3.6,54,5
15.3,Bug,Medium,Trivial,3,52,3,3,5,2,1,Very High,13,3.1,23,8
9,Story,High,Minor,3,19,0,2,7,0,2,Medium,7.3,4.2,42,9
9.3,Bug,Medium,Minor,3,75,1,2,9,2,3,Medium,6.1,9.6,22,10
15.2,Bug,Low,Minor,3,19,3,1,7,0,2,Low,14.7,7.8,39,9
3.9,Story,High,Minor,5,113,2,3,6,0,3,Medium,5.4,2.4,20,7
4.1,Bug,High,Major,3,10,1,1,10,0,4,Very High,16.1,7.6,52,6
7.6,Task,Low,Minor,2,115,1,2,1,1,1,High,12.3,7.8,29,10
11.2,Bug,Medium,Blocker,2,85,1,2,10,3,5,Low,5.9,9.5,22,8
22.1,Task,Medium,Trivial,1,72,1,2,8,0,6,Medium,12.2,9,51,8
11.6,Bug,High,Blocker,2,26,1,1,10,0,4,Medium,14.2,1.4,57,8
12.8,Bug,Medium,Minor,5,36,2,1,5,1,5,Low,18.2,4.8,50,9
10.6,Bug,Critical,Major,5,26,2,1,9,1,1,High,5.8,7.2,40,7
16.1,Bug,Low,Minor,2,31,0,3,11,0,8,Medium,7.2,9.7,43,8
7,Bug,Medium,Trivial,13,114,1,1,6,1,4,Medium,20.3,1.3,43,5
12.1,Bug,Medium,Blocker,3,19,1,2,4,2,3,Low,12.2,4,29,11
16.9,Story,Medium,Minor,8,48,4,1,9,2,4,Low,6,5.2,25,5
15.1,Bug,Medium,Major,5,119,1,2,3,0,3,Very High,17,4.4,47,10
13.1,Story,High,Major,5,90,1,3,1,1,4,Low,20.7,4.8,20,6
13.2,Story,High,Minor,1,96,0,1,10,0,7,Medium,10.5,4,29,7
17.9,Task,Critical,Minor,2,110,0,3,7,0,3,High,17.1,9.7,49,8
42.8,Task,High,Major,1,106,1,1,10,1,4,Medium,8.1,8.1,34,7
7.3,Story,High,Trivial,5,13,4,2,6,4,6,Medium,11.5,7.5,33,5
43.5,Bug,Medium,Major,2,38,1,0,10,1,6,Medium,12.3,4.4,43,10
7.1,Bug,High,Blocker,5,104,1,3,5,1,6,Very High,5,8.9,29,8
1.8,Task,Medium,Trivial,2,77,1,2,11,1,3,High,6.2,1.4,45,9
8.9,Bug,Medium,Trivial,8,19,1,3,7,1,2,Very High,12.3,1.9,20,5
16.3,Bug,Medium,Major,1,66,1,0,9,0,3,Medium,27.1,9.6,39,6
37.6,Bug,Medium,Minor,2,49,0,0,8,1,4,Low,5.7,5.9,48,8
6.6,Bug,Medium,Minor,2,88,1,0,7,0,4,Low,8.8,2,53,11
17.8,Bug,Critical,Trivial,3,76,1,2,4,1,3,High,15.8,9.5,21,6
4.5,Task,Medium,Major,2,62,3,3,10,0,1,Medium,12.9,9.8,21,10
36.8,Bug,Low,Trivial,5,96,5,1,9,1,3,Medium,6.2,8.9,21,7
26.4,Story,Medium,Minor,1,119,7,0,8,1,6,Very High,27.7,2.8,27,6
9.3,Bug,Low,Major,3,23,5,0,10,2,5,Low,11.3,3.1,44,11
29,Bug,Low,Minor,8,20,0,1,8,1,2,Medium,10.6,4.4,37,6
12,Task,Medium,Minor,1,79,3,1,17,0,4,High,10.8,6,36,11
27.3,Bug,Medium,Blocker,8,110,4,1,14,1,0,High,8.1,9.9,49,11
13,Task,Medium,Major,13,12,1,0,11,1,7,Medium,27.8,9.6,27,9
13.4,Story,High,Major,1,37,1,5,10,1,4,Medium,2.3,9.3,48,6
9.4,Bug,High,Minor,2,78,4,2,14,1,2,Low,8.1,1.3,38,9
19.3,Task,Medium,Major,3,22,1,1,6,3,0,Medium,4.4,7.7,56,6
14.1,Bug,Medium,Trivial,5,39,0,2,10,1,2,Medium,7.9,8.8,43,9
18.1,Task,Medium,Trivial,3,47,1,1,7,2,1,High,21.1,3.7,37,5
3.6,Bug,High,Minor,5,54,2,1,5,0,3,Low,30.1,2.6,29,9
27.9,Task,Low,Minor,5,7,0,2,4,1,5,High,5.4,7.6,35,5
32.1,Bug,Low,Major,1,108,3,0,9,0,2,High,10.9,1.4,24,5
14,Story,High,Minor,8,95,2,1,2,0,4,Medium,11.4,9.4,34,10
41,Task,Medium,Major,5,63,5,0,5,0,3,Medium,6,2,42,8
35.5,Task,Low,Major,3,32,3,0,6,1,3,Medium,11.4,4.8,50,5
19.6,Task,Medium,Major,8,50,3,2,7,0,7,High,26,9.8,49,8
29.2,Task,Critical,Minor,5,68,1,1,4,0,4,Very High,3.5,9.9,26,9
24.8,Task,High,Major,2,74,2,2,5,1,3,Medium,11.8,7.9,39,10
2.8,Bug,High,Minor,3,51,4,3,8,0,2,Very High,13.7,8.5,58,7
10.8,Bug,Medium,Trivial,3,18,2,2,4,1,3,Medium,22.9,9.7,22,8
20.4,Bug,Medium,Blocker,1,11,1,2,5,1,2,High,6,9.3,22,10
33.3,Story,Critical,Trivial,13,78,2,0,7,1,1,Low,3.8,6.4,50,7
4.2,Story,Critical,Trivial,1,83,5,3,11,1,4,High,5.9,7.5,26,10
3,Story,Medium,Blocker,5,35,3,0,11,0,2,High,8.4,6.1,20,9
12.5,Bug,High,Minor,3,97,1,1,3,2,3,High,13,5.3,46,8
2,Story,Low,Major,1,110,4,1,10,1,1,High,20.3,8.9,20,11
12.2,Bug,Medium,Minor,8,85,0,0,8,2,1,Medium,13.8,7.5,25,9
16.5,Bug,High,Minor,8,55,2,1,9,1,2,Medium,5.2,8.7,39,7
6.3,Story,Medium,Minor,3,33,2,2,8,2,1,Low,9.4,1.4,58,9
12.5,Task,Critical,Minor,2,117,2,0,4,0,3,Medium,9.9,6,22,7
23.4,Story,Low,Minor,1,112,5,1,5,3,0,Medium,11.7,3.6,21,5
8.9,Story,Medium,Major,3,19,1,4,8,0,4,Low,9,5.4,51,7
7.2,Bug,Critical,Major,2,94,1,3,8,3,6,Medium,13,6.3,39,7
12.1,Story,Critical,Blocker,3,80,1,2,10,2,5,Medium,6.9,8.5,55,5
5.8,Bug,Low,Trivial,13,29,1,2,7,1,2,Low,22.2,0.8,46,8
39.2,Story,Medium,Major,3,65,2,4,6,3,4,Medium,16.3,2.1,39,6
13.3,Story,High,Major,8,45,3,2,5,0,0,Low,13.1,9.3,38,8
7.7,Bug,Low,Blocker,5,73,3,2,9,2,1,Low,7.8,9.7,40,6
15,Bug,Critical,Trivial,3,8,2,1,8,2,2,High,10.3,1,39,5
12,Task,Critical,Major,8,112,1,2,13,2,5,Medium,6.3,3.7,24,8
11.1,Task,Low,Blocker,3,116,1,1,7,2,2,Medium,17.7,0.6,39,9
8.9,Story,Low,Minor,8,109,4,3,8,1,3,Low,22.8,7.7,31,10
8.5,Bug,Low,Blocker,2,61,2,4,8,0,5,Medium,19.3,7,29,11
3.7,Bug,Critical,Trivial,1,35,1,2,6,1,2,Low,3,5.9,41,9
29.2,Story,Low,Major,8,7,1,2,12,1,1,Low,10.7,7.1,57,8
18.8,Task,Medium,Blocker,3,71,5,0,9,1,1,Medium,2.5,5.6,47,9
15.9,Bug,Medium,Major,8,94,1,0,9,1,3,High,19,2.8,31,5
11.9,Task,Medium,Minor,8,54,2,0,7,3,3,Low,8.8,7.7,58,9
6.3,Bug,Low,Trivial,1,21,4,3,10,2,5,Low,1.6,7.9,29,10
7.4,Task,Medium,Blocker,3,64,2,2,10,0,1,Low,9.2,8.6,54,10
4.1,Story,Critical,Minor,3,78,2,2,8,2,2,Medium,23.9,9.6,59,9
8.1,Task,Critical,Trivial,5,70,1,0,6,1,3,Low,26.1,7.6,56,6
5.6,Bug,High,Major,5,92,1,4,10,1,0,Low,7.8,1,36,10
34.3,Story,Low,Minor,2,79,1,3,7,0,5,Very High,13,0.7,46,6
22.4,Bug,Medium,Trivial,3,28,2,1,15,0,2,Low,8.6,7.5,48,7
13.7,Bug,High,Minor,5,103,2,2,5,0,5,Medium,21.5,1,45,5
6.8,Task,Medium,Trivial,1,91,0,2,10,0,2,Very High,11.5,3.5,28,9
5.8,Task,Critical,Major,8,36,3,3,5,0,5,Low,6.5,1.8,31,5
11.4,Task,High,Major,5,91,3,0,7,1,4,Medium,13.6,9.7,45,5
23,Story,Low,Major,8,102,1,0,3,2,3,Medium,13.6,3.5,52,6
4.1,Task,Critical,Major,2,109,3,1,6,1,2,Very High,9.5,1,51,10
18.6,Bug,Critical,Blocker,1,23,4,5,8,2,2,Very High,9,9.5,30,11
8.1,Bug,Low,Major,3,70,4,2,5,2,4,Medium,21.8,6.3,48,9
9.2,Bug,Medium,Trivial,1,64,2,0,4,0,3,Low,10.8,0.8,27,11
13.4,Story,Medium,Major,13,119,1,2,8,0,5,Medium,3.4,8.4,44,7
7,Story,Medium,Minor,1,70,0,3,8,2,1,Very High,4.8,1.9,39,8
11,Bug,Low,Major,5,19,3,0,5,0,3,Low,11.3,8.1,40,11
6.5,Story,Medium,Major,3,89,2,2,7,1,1,Very High,9.2,6.2,23,7
8.5,Task,Critical,Minor,3,39,0,2,8,1,3,High,9,2.2,55,6
20.9,Story,Medium,Blocker,1,73,5,2,10,0,4,Low,3.7,7.6,48,7
13.9,Bug,Low,Trivial,5,111,4,0,7,1,5,High,14.9,4.8,38,6
20.8,Bug,High,Major,3,31,1,8,7,0,7,Low,12.2,6.6,45,6
8,Bug,Medium,Trivial,2,92,4,2,2,1,2,Medium,10.1,8.8,55,11
18.7,Bug,High,Blocker,8,11,3,1,8,1,4,Medium,2.9,3,44,5
3.3,Story,Medium,Trivial,2,10,4,1,8,2,0,Medium,5.4,4,42,10
13.4,Story,Low,Trivial,3,114,3,0,8,0,3,Medium,3.5,10,57,9
19.5,Story,Low,Minor,3,37,1,0,7,2,1,Medium,4,5.3,47,8
3.2,Story,High,Minor,1,62,3,0,4,0,2,Medium,4.5,5.8,30,6
8.1,Task,Medium,Minor,8,53,2,1,7,2,2,Medium,4.2,3.2,48,6
13.4,Bug,High,Major,3,21,2,1,9,2,3,Very High,5.3,4.5,39,11
24.1,Story,Medium,Minor,1,114,2,3,13,1,1,High,28.2,5.3,28,11
8.5,Task,Medium,Trivial,3,46,1,0,6,0,1,Medium,10.7,3,43,5
18.3,Bug,Medium,Minor,5,98,5,2,8,1,3,Medium,8.2,2.8,32,8
30.3,Bug,Critical,Major,3,76,4,1,10,1,1,Low,13.6,6.2,21,6
